Time	Stock	Brd	Price	Qty	BT	BC	SC	ST	
16:14:53	BRMS	RG	1,265	20	D	XC	XA	D	
16:14:49	BRMS	RG	1,265	8	D	XC	XA	D	
16:14:46	BRMS	RG	1,265	5	D	PD	XA	D	
16:14:43	BRMS	RG	1,265	2	D	XL	XA	D	
16:14:41	BRMS	RG	1,265	200	D	YP	XA	D	
16:14:40	BRMS	RG	1,265	2	D	XC	XA	D	
16:14:37	BRMS	RG	1,265	3,849	D	CP	XA	D	
16:14:33	BRMS	RG	1,265	10	D	XC	XA	D	
16:14:31	BRMS	RG	1,265	10	D	XL	XA	D	
16:14:30	BRMS	RG	1,265	1	D	XL	XA	D	
16:14:27	BRMS	RG	1,265	190	D	YP	XA	D	
16:14:26	BRMS	RG	1,265	10	D	XC	XA	D	
16:14:23	BRMS	RG	1,265	50	D	YP	XA	D	
16:14:20	BRMS	RG	1,265	100	D	YP	XA	D	
16:14:17	BRMS	RG	1,265	2	D	XC	XA	D	
16:14:16	BRMS	RG	1,265	11	D	PD	XA	D	
16:14:02	BRMS	RG	1,265	5	D	XL	XA	D	
16:14:00	BRMS	RG	1,265	3	D	XL	XA	D	
16:14:00	BRMS	RG	1,265	40	D	XL	XA	D	
16:14:00	BRMS	RG	1,265	5	D	XL	XA	D	
16:13:45	BRMS	RG	1,265	50	D	XL	XA	D	
16:13:44	BRMS	RG	1,265	5	D	XL	XA	D	
16:13:41	BRMS	RG	1,265	1	D	XL	XA	D	
16:13:41	BRMS	RG	1,265	10	D	YP	XA	D	
16:13:39	BRMS	RG	1,265	100	D	YP	XA	D	
16:13:37	BRMS	RG	1,265	1	D	XC	XA	D	
16:13:37	BRMS	RG	1,265	50	D	PD	XA	D	
16:13:36	BRMS	RG	1,265	5	D	XL	XA	D	
16:13:34	BRMS	RG	1,265	1	D	XL	XA	D	
16:13:30	BRMS	RG	1,265	50	D	SQ	XA	D	
16:13:29	BRMS	RG	1,265	1	D	XL	XA	D	
16:13:21	BRMS	RG	1,265	50	D	YP	XA	D	
16:13:20	BRMS	RG	1,265	42	D	XL	XA	D	
16:13:17	BRMS	RG	1,265	8	D	XC	XA	D	
16:13:16	BRMS	RG	1,265	1	D	XL	XA	D	
16:13:11	BRMS	RG	1,265	10	D	XC	XA	D	
16:13:05	BRMS	RG	1,265	2	D	CC	XA	D	
16:13:05	BRMS	RG	1,265	10	D	XL	XA	D	
16:13:05	BRMS	RG	1,265	1	D	XL	XA	D	
16:13:04	BRMS	RG	1,265	3	D	XL	XA	D	
16:13:02	BRMS	RG	1,265	1,000	D	SQ	XA	D	
16:13:00	BRMS	RG	1,265	10	D	XC	XA	D	
16:12:58	BRMS	RG	1,265	2	D	XL	XA	D	
16:12:56	BRMS	RG	1,265	10	D	AZ	XA	D	
16:12:54	BRMS	RG	1,265	48	D	XL	XA	D	
16:12:54	BRMS	RG	1,265	1	D	XL	XA	D	
16:12:54	BRMS	RG	1,265	100	D	EP	XA	D	
16:12:54	BRMS	RG	1,265	1	D	XL	XA	D	
16:12:45	BRMS	RG	1,265	2	D	XL	XA	D	
16:12:41	BRMS	RG	1,265	8	D	XL	XA	D	
16:12:34	BRMS	RG	1,265	30	D	XC	XA	D	
16:12:32	BRMS	RG	1,265	15	D	XL	XA	D	
16:12:22	BRMS	RG	1,265	1	D	OD	XA	D	
16:12:21	BRMS	RG	1,265	30	D	MG	XA	D	
16:12:19	BRMS	RG	1,265	234	D	YP	XA	D	
16:12:19	BRMS	RG	1,265	789	D	XC	XA	D	
16:12:17	BRMS	RG	1,265	60	D	SQ	XA	D	
16:12:15	BRMS	RG	1,265	142	D	XL	XA	D	
16:12:11	BRMS	RG	1,265	50	D	SQ	XA	D	
16:12:02	BRMS	RG	1,265	1	D	XL	XA	D	
16:11:53	BRMS	RG	1,265	5	D	XL	XA	D	
16:11:53	BRMS	RG	1,265	100	D	NI	XA	D	
16:11:48	BRMS	RG	1,265	16	D	TP	XA	D	
16:11:30	BRMS	RG	1,265	140	D	XC	XA	D	
16:11:28	BRMS	RG	1,265	15	D	XL	XA	D	
16:11:27	BRMS	RG	1,265	2	D	XL	XA	D	
16:11:24	BRMS	RG	1,265	1	D	XL	XA	D	
16:11:19	BRMS	RG	1,265	50	D	PD	XA	D	
16:11:15	BRMS	RG	1,265	5	D	XL	XA	D	
16:11:11	BRMS	RG	1,265	2	D	CC	XA	D	
