Time	Stock	Brd	Price	Qty	BT	BC	SC	ST	
16:14:59	BRMS	RG	1,310	104	D	YP	IF	D	
16:14:58	BRMS	RG	1,310	200	D	PD	IF	D	
16:14:58	BRMS	RG	1,310	222	D	PD	IF	D	
16:14:56	BRMS	RG	1,310	1	D	CC	IF	D	
16:14:54	BRMS	RG	1,310	8	D	YP	IF	D	
16:14:50	BRMS	RG	1,310	5	D	YP	IF	D	
16:14:47	BRMS	RG	1,310	77	D	XL	IF	D	
16:14:44	BRMS	RG	1,310	2	D	CC	IF	D	
16:14:33	BRMS	RG	1,310	16	D	YP	IF	D	
16:14:28	BRMS	RG	1,310	1	D	XL	IF	D	
16:14:21	BRMS	RG	1,310	2	D	XL	IF	D	
16:14:15	BRMS	RG	1,310	1	D	XL	IF	D	
16:14:12	BRMS	RG	1,310	3	D	CC	IF	D	
16:14:10	BRMS	RG	1,310	100	D	TP	IF	D	
16:14:08	BRMS	RG	1,310	1	D	CC	IF	D	
16:14:04	BRMS	RG	1,310	11	D	YP	IF	D	
16:14:04	BRMS	RG	1,310	1	D	KK	IF	D	
16:14:02	BRMS	RG	1,310	11	D	XL	IF	D	
16:13:50	BRMS	RG	1,310	15	D	CC	IF	D	
16:13:29	BRMS	RG	1,310	1	D	CC	IF	D	
16:13:26	BRMS	RG	1,310	1,000	D	HD	IF	D	
16:13:25	BRMS	RG	1,310	15	D	CC	IF	D	
16:13:24	BRMS	RG	1,310	4	D	XL	IF	D	
16:13:24	BRMS	RG	1,310	1	D	XL	IF	D	
16:13:16	BRMS	RG	1,310	2	D	XL	IF	D	
16:13:04	BRMS	RG	1,310	153	D	XL	IF	D	
16:13:00	BRMS	RG	1,310	30	D	XL	IF	D	
16:12:57	BRMS	RG	1,310	20	D	YP	IF	D	
16:12:51	BRMS	RG	1,310	50	D	XC	IF	D	
16:12:50	BRMS	RG	1,310	81	D	XL	IF	D	
16:12:46	BRMS	RG	1,310	40	D	BQ	IF	D	
16:12:43	BRMS	RG	1,310	2	D	XL	IF	D	
16:12:40	BRMS	RG	1,310	350	D	XL	IF	D	
16:12:37	BRMS	RG	1,310	100	D	YB	IF	D	
16:12:35	BRMS	RG	1,310	2	D	XC	IF	D	
16:12:35	BRMS	RG	1,310	100	D	XL	IF	D	
16:12:34	BRMS	RG	1,310	1	D	XC	IF	D	
16:12:34	BRMS	RG	1,310	384	D	XC	IF	D	
16:12:26	BRMS	RG	1,310	25	D	XC	IF	D	
16:12:21	BRMS	RG	1,310	60	D	YP	IF	D	
16:12:13	BRMS	RG	1,310	100	D	TP	IF	D	
16:12:05	BRMS	RG	1,310	2	D	KK	IF	D	
16:12:02	BRMS	RG	1,310	150	D	BQ	IF	D	
16:12:01	BRMS	RG	1,310	20	D	XL	IF	D	
16:11:55	BRMS	RG	1,310	20	D	XL	IF	D	
16:11:55	BRMS	RG	1,310	5	D	PD	IF	D	
16:11:54	BRMS	RG	1,310	5	D	OD	IF	D	
16:11:53	BRMS	RG	1,310	5	D	XL	IF	D	
16:11:53	BRMS	RG	1,310	10	D	XL	IF	D	
16:11:51	BRMS	RG	1,310	26	D	OD	IF	D	
16:11:48	BRMS	RG	1,310	5	D	YP	IF	D	
16:11:48	BRMS	RG	1,310	34	D	XL	IF	D	
16:11:48	BRMS	RG	1,310	10	D	XC	IF	D	
16:11:42	BRMS	RG	1,310	25	D	CC	IF	D	
16:11:41	BRMS	RG	1,310	7	D	XC	IF	D	
16:11:38	BRMS	RG	1,310	81	D	SQ	IF	D	
16:11:37	BRMS	RG	1,310	5	D	CC	IF	D	
16:11:36	BRMS	RG	1,310	3	D	OD	IF	D	
16:11:35	BRMS	RG	1,310	8	D	CC	IF	D	
16:11:33	BRMS	RG	1,310	500	D	YP	IF	D	
16:11:28	BRMS	RG	1,310	3	D	XL	IF	D	
16:11:22	BRMS	RG	1,310	2	D	OD	IF	D	
16:11:22	BRMS	RG	1,310	20	D	PD	IF	D	
16:11:19	BRMS	RG	1,310	20	D	PD	IF	D	
16:11:18	BRMS	RG	1,310	200	D	PD	IF	D	
16:11:12	BRMS	RG	1,310	75	D	AT	IF	D	
16:11:11	BRMS	RG	1,310	200	D	EP	IF	D	
16:11:06	BRMS	RG	1,310	5	D	XC	IF	D	
16:10:56	BRMS	RG	1,310	500	D	CC	IF	D	
16:10:55	BRMS	RG	1,310	4	D	XL	IF	D	
16:10:55	BRMS	RG	1,310	5	D	CC	IF	D	
16:10:51	BRMS	RG	1,310	33	D	XC	IF	D	
16:10:51	BRMS	RG	1,310	26	D	CP	IF	D	
16:10:49	BRMS	RG	1,310	46	D	NI	IF	D	
16:10:45	BRMS	RG	1,310	50	D	CC	IF	D	
16:10:44	BRMS	RG	1,310	1	D	XL	IF	D	
16:10:41	BRMS	RG	1,310	38	D	XA	IF	D	
16:10:38	BRMS	RG	1,310	2	D	OD	IF	D	
16:10:38	BRMS	RG	1,310	1	D	XL	IF	D	
16:10:38	BRMS	RG	1,310	10	D	XL	IF	D	
16:10:36	BRMS	RG	1,310	1,500	D	EP	IF	D	
16:10:33	BRMS	RG	1,310	700	D	YP	IF	D	
16:10:27	BRMS	RG	1,310	8	D	XL	IF	D	
16:10:20	BRMS	RG	1,310	280	D	XL	IF	D	
16:10:20	BRMS	RG	1,310	1	D	XC	IF	D	
16:10:15	BRMS	RG	1,310	1	D	XL	IF	D	
16:10:13	BRMS	RG	1,310	20	D	CC	IF	D	
16:10:11	BRMS	RG	1,310	4	D	XL	IF	D	
16:10:00	BRMS	RG	1,310	77	D	XL	IF	D	
16:09:54	BRMS	RG	1,310	71	D	XL	IF	D	
16:09:52	BRMS	RG	1,310	7	D	KK	IF	D	
16:09:50	BRMS	RG	1,310	3	D	XC	IF	D	
16:09:49	BRMS	RG	1,310	1	D	XL	IF	D	
16:09:46	BRMS	RG	1,310	1,250	D	YU	IF	D	
16:09:46	BRMS	RG	1,310	3	D	XL	IF	D	
16:09:39	BRMS	RG	1,310	12	D	XL	IF	D	
16:09:38	BRMS	RG	1,310	10	D	XL	IF	D	
16:09:38	BRMS	RG	1,310	2	D	XL	IF	D	
16:09:36	BRMS	RG	1,310	2	D	TP	IF	D	
16:09:36	BRMS	RG	1,310	1	D	XL	IF	D	
16:09:33	BRMS	RG	1,310	5	D	CC	IF	D	
16:09:31	BRMS	RG	1,310	20	D	XC	IF	D	
